name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage (km/l),engine (cc),max_power (bhp),seats,brand_name,model_name
Hyundai Santa Fe 4WD AT,2014,900000,80000,Diesel,Individual,Automatic,Second,13.01,2199.0,194.3,7.0,Hyundai,Santa Fe 4WD AT
Mahindra Thar DI 4X4,2014,425000,63000,Diesel,Individual,Manual,Second,18.06,2523.0,63.0,7.0,Mahindra,Thar DI 4X4
Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Individual,Manual,Third,18.0,995.0,62.0,5.0,Chevrolet,Spark 1.0 LT
Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Individual,Manual,First,28.4,1248.0,74.02,5.0,Maruti,Swift Dzire VDI
Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,Petrol,Individual,Manual,First,17.0,1591.0,121.3,5.0,Hyundai,Verna VTVT 1.6 SX Option
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,Diesel,Individual,Manual,First,13.58,2499.0,72.4,9.0,Chevrolet,Tavera Neo 3 LT 9 Seats BSIII
Maruti Ertiga VDI,2014,550000,50000,Diesel,Individual,Manual,Second,20.77,1248.0,88.76,7.0,Maruti,Ertiga VDI
Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,Diesel,Individual,Manual,First,15.4,2179.0,120.0,7.0,Mahindra,Scorpio S4 Plus 4WD
Tata Indigo LS BSII,2006,100000,120000,Diesel,Individual,Manual,Third,16.1,1405.0,70.0,5.0,Tata,Indigo LS BSII
Mahindra Scorpio EX,2013,500000,195000,Diesel,Individual,Manual,First,14.0,2523.0,75.0,8.0,Mahindra,Scorpio EX
Maruti Wagon R Stingray VXI,2013,350000,40000,Petrol,Individual,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R Stingray VXI
Tata Indica V2 DLS TC,2008,100000,40000,Diesel,Individual,Manual,First,16.8,1405.0,62.0,5.0,Tata,Indica V2 DLS TC
Tata Safari DICOR 2.2 EX 4x2,2012,325000,120000,Diesel,Individual,Manual,First,13.93,2179.0,138.03,7.0,Tata,Safari DICOR 2.2 EX 4x2
Maruti Wagon R LXI BS IV,2012,220000,360003,Petrol,Individual,Manual,Second,18.9,998.0,67.1,5.0,Maruti,Wagon R LXI BS IV
Maruti 800 AC,1999,55000,60000,Petrol,Individual,Manual,Second,16.1,796.0,37.0,4.0,Maruti,800 AC
Renault KWID RXT,2016,330000,20000,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT
Mahindra Bolero 2011-2019 EX NON AC,2014,480000,37000,Diesel,Individual,Manual,First,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 EX NON AC
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,950000,57000,Diesel,Individual,Manual,Second,25.1,1248.0,88.5,5.0,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH
Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,Diesel,Individual,Manual,Second,16.2,1493.0,110.0,5.0,Hyundai,Verna Transform SX VGT CRDi
Hyundai Verna Xi (Petrol),2006,170000,110000,Petrol,Individual,Manual,Fourth & Above,13.9,1599.0,103.2,5.0,Hyundai,Verna Xi (Petrol)
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,Diesel,Individual,Manual,Second,12.99,2494.0,100.57,8.0,Toyota,Innova 2.5 EV (Diesel) PS 8 Seater BS IV
Tata Tigor 2017-2020 XZ Plus Diesel,2019,900000,8079,Diesel,Dealer,Manual,First,24.7,1047.0,69.0,5.0,Tata,Tigor 2017-2020 XZ Plus Diesel
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,1325000,114368,Diesel,Dealer,Manual,Second,12.99,2494.0,100.6,7.0,Toyota,Innova 2.5 Z Diesel 7 Seater BS IV
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,350000,79990,Diesel,Dealer,Manual,Second,17.8,1399.0,67.0,5.0,Ford,Fiesta Classic 1.4 Duratorq CLXI
Ford Figo Diesel Titanium,2012,425000,81632,Diesel,Dealer,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo Diesel Titanium
Ford Aspire Titanium Diesel BSIV,2016,600000,155201,Diesel,Dealer,Manual,First,26.1,1498.0,99.23,5.0,Ford,Aspire Titanium Diesel BSIV
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,Diesel,Dealer,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Titanium
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,Diesel,Dealer,Manual,First,17.8,1399.0,67.0,5.0,Ford,Fiesta Classic 1.4 Duratorq CLXI
Ford Figo Titanium Diesel BSIV,2010,325000,86017,Diesel,Dealer,Manual,Second,25.5,1498.0,99.23,5.0,Ford,Figo Titanium Diesel BSIV
Mahindra XUV500 W8 2WD,2013,900000,85036,Diesel,Dealer,Manual,Second,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,Diesel,Dealer,Manual,Second,22.77,1498.0,98.59,5.0,Ford,EcoSport 1.5 TDCi Titanium BSIV
Hyundai Verna VTVT 1.6 SX Option,2019,1100000,10000,Petrol,Individual,Manual,First,17.0,1591.0,121.3,5.0,Hyundai,Verna VTVT 1.6 SX Option
Tata Tiago 1.2 Revotron XZ,2017,520000,20000,Petrol,Individual,Manual,First,23.84,1199.0,84.0,5.0,Tata,Tiago 1.2 Revotron XZ
Mahindra Scorpio S10 7 Seater,2015,885000,170000,Diesel,Individual,Manual,First,15.4,2179.0,120.0,7.0,Mahindra,Scorpio S10 7 Seater
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,Diesel,Individual,Automatic,First,21.5,1497.0,108.5,5.0,Tata,Nexon 1.5 Revotorq XZA Plus DualTone
Honda City 1.5 E MT,2008,229999,120000,Petrol,Individual,Manual,Second,17.0,1497.0,118.0,5.0,Honda,City 1.5 E MT
Maruti Ritz VDi,2013,409999,100000,Diesel,Individual,Manual,Third,23.2,1248.0,73.94,5.0,Maruti,Ritz VDi
Ford Fiesta EXi 1.4 TDCi Ltd,2011,300000,110000,Diesel,Individual,Manual,Third,17.8,1399.0,68.0,5.0,Ford,Fiesta EXi 1.4 TDCi Ltd
Tata Indica V2 DLG TC,2008,175000,120000,Diesel,Individual,Manual,Third,16.8,1405.0,68.0,5.0,Tata,Indica V2 DLG TC
Maruti Alto LX,2000,108000,206000,Petrol,Individual,Manual,Fourth & Above,19.7,796.0,46.3,5.0,Maruti,Alto LX
Maruti Celerio ZXI,2017,425000,40000,Petrol,Individual,Manual,Second,23.1,998.0,67.04,5.0,Maruti,Celerio ZXI
Chevrolet Optra Magnum 2.0 LS,2011,272000,170000,Diesel,Individual,Manual,Fourth & Above,16.52,1991.0,123.7,5.0,Chevrolet,Optra Magnum 2.0 LS
Hyundai i10 Magna 1.1L,2013,310000,70000,Petrol,Individual,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10 Magna 1.1L
Hyundai Creta 1.4 CRDi S Plus,2017,1125000,105000,Diesel,Individual,Manual,First,21.38,1396.0,88.7,5.0,Hyundai,Creta 1.4 CRDi S Plus
Hyundai Xcent 1.2 Kappa S Option,2014,450000,46000,Petrol,Individual,Manual,Second,19.1,1197.0,81.86,5.0,Hyundai,Xcent 1.2 Kappa S Option
Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,Diesel,Individual,Manual,Second,22.07,1199.0,73.9,5.0,Volkswagen,Polo Diesel Highline 1.2L
Hyundai Verna Transform SX VTVT,2011,400000,60000,Petrol,Individual,Manual,First,16.2,1599.0,103.2,5.0,Hyundai,Verna Transform SX VTVT
Honda City i DTEC VX,2015,760000,70000,Diesel,Individual,Manual,Third,25.1,1498.0,98.6,5.0,Honda,City i DTEC VX
Maruti Alto LXi,2009,120000,90000,Petrol,Individual,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Maruti Swift Dzire VDI,2019,757000,25000,Diesel,Individual,Manual,First,28.4,1248.0,74.02,5.0,Maruti,Swift Dzire VDI
Maruti Alto 800 VXI,2015,270000,53000,Petrol,Individual,Manual,Second,22.74,796.0,47.3,5.0,Maruti,Alto 800 VXI
Tata Sumo MKII GX BS IV,2011,250000,90000,Diesel,Individual,Manual,Second,13.55,2179.0,118.35,7.0,Tata,Sumo MKII GX BS IV
Toyota Innova Crysta 2.5 VX BS IV,2011,800000,60000,Diesel,Individual,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova Crysta 2.5 VX BS IV
Toyota Fortuner 4x2 Manual,2014,1380000,150000,Diesel,Individual,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner 4x2 Manual
Mahindra Thar CRDe AC,2014,700000,24000,Diesel,Individual,Manual,First,16.55,2498.0,105.0,6.0,Mahindra,Thar CRDe AC
Honda Mobilio S i DTEC,2016,450000,100000,Diesel,Individual,Manual,Second,24.2,1498.0,98.6,7.0,Honda,Mobilio S i DTEC
Mahindra KUV 100 G80 K8,2018,650000,6000,Petrol,Individual,Manual,First,18.15,1198.0,82.0,6.0,Mahindra,KUV 100 G80 K8
Mahindra XUV500 W8 2WD,2013,950000,49700,Diesel,Individual,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,Diesel,Individual,Manual,Second,12.8,2494.0,102.0,7.0,Toyota,Innova 2.5 E Diesel MS 7-seater
Maruti Swift Dzire AMT VXI,2019,600000,10000,Petrol,Individual,Automatic,First,21.21,1197.0,81.8,5.0,Maruti,Swift Dzire AMT VXI
Renault KWID RXT Optional,2019,290000,21000,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT Optional
Maruti Alto K10 2010-2014 VXI,2013,215000,25000,Petrol,Individual,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto K10 2010-2014 VXI
Renault KWID RXT Optional,2016,250000,22000,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT Optional
Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,Diesel,Individual,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga SHVS ZDI Plus
Maruti Alto K10 VXI,2016,250000,20000,Petrol,Individual,Manual,Second,23.95,998.0,67.05,5.0,Maruti,Alto K10 VXI
Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Individual,Automatic,First,15.4,1497.0,117.3,7.0,Honda,BRV i-VTEC V CVT
Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,30000,Diesel,Individual,Manual,First,25.83,1498.0,99.0,5.0,Ford,Figo Aspire 1.5 TDCi Titanium
Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,Diesel,Individual,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi SX Option
Honda Jazz V CVT,2017,725000,6550,Petrol,Individual,Automatic,First,18.2,1199.0,88.7,5.0,Honda,Jazz V CVT
Hyundai Grand i10 CRDi Sportz,2016,480000,30000,Diesel,Individual,Manual,First,24.0,1120.0,70.0,5.0,Hyundai,Grand i10 CRDi Sportz
BMW X6 xDrive30d,2013,3750000,56000,Diesel,Dealer,Automatic,First,11.2,2993.0,241.0,4.0,BMW,X6 xDrive30d
Maruti Swift Dzire ZXI Plus,2018,795000,41779,Petrol,Dealer,Manual,First,21.21,1197.0,81.8,5.0,Maruti,Swift Dzire ZXI Plus
Honda Jazz 1.2 V i VTEC,2016,625000,54000,Petrol,Dealer,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz 1.2 V i VTEC
Mercedes-Benz E-Class E250 CDI Avantgarde,2016,2900000,31000,Diesel,Dealer,Automatic,First,13.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class E250 CDI Avantgarde
Maruti Ignis 1.3 AMT Zeta,2017,625000,37000,Diesel,Individual,Automatic,First,26.8,1248.0,74.0,5.0,Maruti,Ignis 1.3 AMT Zeta
Chevrolet Cruze LTZ AT,2011,440000,90000,Diesel,Individual,Automatic,Second,18.1,1991.0,147.9,4.0,Chevrolet,Cruze LTZ AT
Toyota Corolla Altis 1.8 G,2018,1400000,13534,Petrol,Dealer,Manual,First,14.28,1798.0,138.03,5.0,Toyota,Corolla Altis 1.8 G
Toyota Corolla Altis 1.8 VL AT,2017,1450000,7000,Petrol,Dealer,Automatic,Second,14.53,1794.0,138.1,5.0,Toyota,Corolla Altis 1.8 VL AT
Mercedes-Benz GLA Class 200 CDI SPORT,2017,2700000,23000,Diesel,Dealer,Automatic,First,17.9,2143.0,136.0,5.0,Mercedes-Benz,GLA Class 200 CDI SPORT
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,1925000,43000,Diesel,Dealer,Automatic,First,11.36,2755.0,171.5,8.0,Toyota,Innova Crysta 2.8 GX AT 8S BSIV
Kia Seltos HTX Plus AT D,2020,1900000,5000,Diesel,Dealer,Automatic,First,17.8,1493.0,113.4,5.0,Kia,Seltos HTX Plus AT D
Maruti Ciaz RS ZDi Plus SHVS,2017,844999,70000,Diesel,Dealer,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz RS ZDi Plus SHVS
Skoda Rapid 1.5 TDI AT Style Plus,2016,650000,99000,Diesel,Dealer,Automatic,First,21.66,1498.0,103.52,5.0,Skoda,Rapid 1.5 TDI AT Style Plus
Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Dealer,Manual,First,22.0,1197.0,81.8,5.0,Maruti,Swift ZXI 2018
BMW 6 Series GT 630d Luxury Line,2018,6000000,28156,Diesel,Dealer,Automatic,First,17.09,2993.0,261.4,4.0,BMW,6 Series GT 630d Luxury Line
Honda Jazz 1.2 SV i VTEC,2015,610000,30000,Petrol,Dealer,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz 1.2 SV i VTEC
Toyota Fortuner 2.8 2WD AT BSIV,2018,2940000,100000,Diesel,Dealer,Automatic,First,12.9,2755.0,174.5,7.0,Toyota,Fortuner 2.8 2WD AT BSIV
Hyundai Creta 1.6 CRDi SX,2017,1150000,63309,Diesel,Dealer,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi SX
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1825000,94000,Diesel,Dealer,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT BSIV
Hyundai Elite i20 Asta Option CVT BSIV,2018,890000,29000,Petrol,Dealer,Automatic,First,17.4,1197.0,81.86,5.0,Hyundai,Elite i20 Asta Option CVT BSIV
Tata Indigo CS eLX BS IV,2017,385000,155000,Diesel,Individual,Manual,First,25.0,1396.0,69.01,5.0,Tata,Indigo CS eLX BS IV
Maruti Celerio ZXI AT,2016,400000,35000,Petrol,Individual,Automatic,First,23.1,998.0,67.04,5.0,Maruti,Celerio ZXI AT
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,550000,50000,Diesel,Individual,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Sportz Option
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,270000,185000,Diesel,Individual,Manual,First,14.8,2499.0,80.0,7.0,Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII
Tata Indigo CS LS (TDI) BS III,2013,200000,175000,Diesel,Individual,Manual,Second,19.09,1396.0,69.0,5.0,Tata,Indigo CS LS (TDI) BS III
Renault KWID RXT Optional,2016,310000,11500,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT Optional
Hyundai Xcent 1.2 CRDi S,2019,700000,3000,Diesel,Individual,Manual,First,25.4,1186.0,73.97,5.0,Hyundai,Xcent 1.2 CRDi S
Chevrolet Sail LT ABS,2015,480000,80000,Diesel,Individual,Manual,Second,22.1,1248.0,74.0,5.0,Chevrolet,Sail LT ABS
Maruti Alto LXI,2005,90000,40000,Petrol,Individual,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto LXI
Maruti Alto LXI,2005,80000,40000,Petrol,Individual,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto LXI
Maruti Ritz VDi,2015,350000,90000,Diesel,Individual,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz VDi
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,600000,100000,Diesel,Individual,Manual,First,23.65,1248.0,88.5,5.0,Maruti,SX4 S Cross 2015-2017 DDiS 200 Zeta
Mahindra Scorpio M2DI,2011,350000,120000,Diesel,Individual,Manual,Third,13.5,2179.0,115.0,5.0,Mahindra,Scorpio M2DI
Maruti Vitara Brezza VDi Option,2018,770000,50000,Diesel,Individual,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi Option
Mahindra Verito 1.5 D6 BSIV,2012,350000,25000,Diesel,Individual,Manual,First,21.03,1461.0,65.0,5.0,Mahindra,Verito 1.5 D6 BSIV
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,600000,50000,Diesel,Individual,Manual,Third,12.05,2179.0,120.0,8.0,Mahindra,Scorpio VLX 2WD AIRBAG BSIV
Mahindra TUV 300 T8,2016,750000,71000,Diesel,Individual,Manual,First,18.49,1493.0,100.0,7.0,Mahindra,TUV 300 T8
Maruti Wagon R VXI BS IV,2016,340000,40000,Petrol,Individual,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R VXI BS IV
Hyundai Elite i20 Petrol Sportz,2018,650000,31800,Petrol,Individual,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Petrol Sportz
Hyundai i10 Sportz,2014,300000,65000,Petrol,Individual,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Sportz
Maruti Alto 800 LXI,2014,204999,15000,Petrol,Individual,Manual,Second,22.74,796.0,47.3,5.0,Maruti,Alto 800 LXI
Mahindra Verito 1.5 D4 BSIII,2012,254999,70000,Diesel,Individual,Manual,Second,20.8,1461.0,65.0,5.0,Mahindra,Verito 1.5 D4 BSIII
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,650000,5000,Petrol,Individual,Manual,First,18.16,1196.0,86.8,5.0,Ford,Figo Aspire 1.2 Ti-VCT Titanium
Hyundai EON Magna Plus,2017,280000,50000,Petrol,Individual,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON Magna Plus
Tata Indica V2 DLS,2011,100000,80000,Diesel,Individual,Manual,First,17.2,1396.0,53.5,5.0,Tata,Indica V2 DLS
Chevrolet Tavera Neo 3 9 Str BSIII,2014,575000,70000,Diesel,Individual,Manual,Second,13.58,2499.0,72.4,9.0,Chevrolet,Tavera Neo 3 9 Str BSIII
Maruti Vitara Brezza VDi,2017,780000,40000,Diesel,Individual,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi
Mahindra Bolero 2011-2019 ZLX,2013,467000,157000,Diesel,Individual,Manual,First,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 ZLX
Mahindra Scorpio S10 7 Seater,2015,1050000,90000,Diesel,Individual,Manual,First,15.4,2179.0,120.0,7.0,Mahindra,Scorpio S10 7 Seater
Hyundai i10 Magna 1.1L,2011,225000,80000,Petrol,Individual,Manual,Second,19.81,1086.0,68.05,5.0,Hyundai,i10 Magna 1.1L
Mahindra Verito 1.5 D4 BSIV,2012,260000,70000,Diesel,Individual,Manual,Second,21.03,1461.0,65.0,5.0,Mahindra,Verito 1.5 D4 BSIV
Chevrolet Spark 1.0 E,2009,90000,50000,Petrol,Individual,Manual,Second,16.0,995.0,63.0,5.0,Chevrolet,Spark 1.0 E
Ford Figo Diesel ZXI,2012,280000,60000,Diesel,Individual,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo Diesel ZXI
Mahindra Verito 1.5 D4 BSIII,2014,350000,106000,Diesel,Individual,Manual,Second,20.8,1461.0,65.0,5.0,Mahindra,Verito 1.5 D4 BSIII
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,229999,80000,Diesel,Individual,Manual,Second,10.5,2179.0,120.0,7.0,Mahindra,Scorpio 2.6 SLX Turbo 7 Seater
Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,550000,80000,Diesel,Individual,Manual,Second,15.96,2523.0,63.0,9.0,Mahindra,Bolero 2011-2019 DI NON AC BS III White
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,850000,110000,Diesel,Individual,Manual,Second,12.99,2494.0,100.0,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV
Mahindra Bolero DI,2011,370000,120000,Diesel,Individual,Manual,Third,13.6,2523.0,63.0,7.0,Mahindra,Bolero DI
Maruti Alto K10 LXI,2013,250000,27000,Petrol,Individual,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto K10 LXI
Maruti Alto LXi,2007,95000,70000,Petrol,Individual,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Maruti Wagon R LXI Minor,2010,180000,70000,Petrol,Individual,Manual,Second,18.9,1061.0,67.0,5.0,Maruti,Wagon R LXI Minor
Mahindra NuvoSport N8 AMT,2016,650000,50000,Diesel,Individual,Automatic,First,17.45,1493.0,100.0,7.0,Mahindra,NuvoSport N8 AMT
Hyundai Xcent 1.2 CRDi E,2018,530000,60000,Diesel,Individual,Manual,First,25.4,1186.0,73.97,5.0,Hyundai,Xcent 1.2 CRDi E
Maruti Swift VVT ZXI,2017,610000,15000,Petrol,Individual,Manual,First,22.0,1197.0,81.8,5.0,Maruti,Swift VVT ZXI
Mahindra Xylo E4 8S,2010,265000,135000,Diesel,Individual,Manual,First,14.0,2498.0,112.0,8.0,Mahindra,Xylo E4 8S
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,560000,26300,Petrol,Individual,Manual,First,23.84,1199.0,84.0,5.0,Tata,Tiago 1.2 Revotron XZ WO Alloy
Mahindra Bolero 2011-2019 SLE,2014,430000,120000,Diesel,Individual,Manual,First,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 SLE
Maruti Swift Dzire VDI,2017,711000,35000,Diesel,Individual,Manual,First,28.4,1248.0,74.02,5.0,Maruti,Swift Dzire VDI
Maruti Swift Dzire VXI,2015,511000,30000,Petrol,Individual,Manual,First,20.85,1197.0,83.14,5.0,Maruti,Swift Dzire VXI
Mahindra Bolero 2011-2019 ZLX,2012,450000,165000,Diesel,Individual,Manual,First,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 ZLX
Tata Zest Revotron 1.2 XT,2015,325000,50000,Petrol,Individual,Manual,First,17.57,1193.0,88.7,5.0,Tata,Zest Revotron 1.2 XT
Renault Scala Diesel RxZ,2013,434999,120000,Diesel,Individual,Manual,First,21.64,1461.0,84.8,5.0,Renault,Scala Diesel RxZ
Ford Figo Diesel LXI,2010,210000,100000,Diesel,Individual,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo Diesel LXI
Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Individual,Manual,Second,15.0,1586.0,104.68,5.0,Maruti,SX4 Vxi BSIII
Maruti Ertiga VXI Limited Edition,2017,650000,70000,Petrol,Individual,Manual,Second,17.5,1373.0,91.1,7.0,Maruti,Ertiga VXI Limited Edition
Hyundai i20 Sportz 1.2,2014,320000,72000,Petrol,Individual,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Sportz 1.2
Renault KWID Climber 1.0 MT,2017,290000,50000,Petrol,Individual,Manual,First,23.01,999.0,67.0,5.0,Renault,KWID Climber 1.0 MT
Tata Nano CX,2013,80000,30000,Petrol,Individual,Manual,First,25.4,624.0,37.48,4.0,Tata,Nano CX
Tata Safari Storme EX,2017,1100000,20000,Diesel,Individual,Manual,First,14.1,2179.0,147.94,7.0,Tata,Safari Storme EX
Maruti Ciaz ZDi Plus,2015,600000,110000,Diesel,Individual,Manual,First,26.21,1248.0,88.5,5.0,Maruti,Ciaz ZDi Plus
Renault KWID RXT,2017,340000,25000,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,750000,120000,Diesel,Individual,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater
Maruti Alto LX,2006,100000,40000,Petrol,Individual,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto LX
Renault KWID RXT Optional,2019,395000,10000,Petrol,Individual,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID RXT Optional
Maruti Wagon R VXI Minor,2010,200000,65000,Petrol,Individual,Manual,First,18.9,1061.0,67.0,5.0,Maruti,Wagon R VXI Minor
Maruti Eeco CNG 5 Seater AC BSIV,2019,450000,10000,CNG,Individual,Manual,First,21.94,1196.0,61.7,5.0,Maruti,Eeco CNG 5 Seater AC BSIV
Mahindra Verito 1.4 G4 BSIV,2012,180000,110000,Petrol,Individual,Manual,Second,13.87,1390.0,75.0,5.0,Mahindra,Verito 1.4 G4 BSIV
Mahindra Bolero DI,2008,190000,120000,Diesel,Individual,Manual,Second,13.6,2523.0,63.0,7.0,Mahindra,Bolero DI
Maruti Eeco 5 Seater AC BSIV,2015,310000,72000,Petrol,Individual,Manual,First,15.37,1196.0,73.0,5.0,Maruti,Eeco 5 Seater AC BSIV
Maruti Ritz VDi,2014,351000,89100,Diesel,Individual,Manual,Second,23.2,1248.0,73.94,5.0,Maruti,Ritz VDi
Chevrolet Optra 1.6 LT Royale,2006,190000,94000,Petrol,Individual,Manual,Second,17.4,1599.0,104.0,5.0,Chevrolet,Optra 1.6 LT Royale
Hyundai EON Magna Plus,2015,225000,120000,Petrol,Individual,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON Magna Plus
Chevrolet Spark 1.0 LT,2012,130000,110000,Petrol,Individual,Manual,First,16.2,995.0,62.1,5.0,Chevrolet,Spark 1.0 LT
Maruti Ciaz Alpha Diesel,2018,1000000,50000,Diesel,Individual,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz Alpha Diesel
Tata Indica V2 DLS TC,2004,55000,90000,Diesel,Individual,Manual,Third,16.8,1405.0,62.0,5.0,Tata,Indica V2 DLS TC
Chevrolet Sail 1.2 LT ABS,2014,330000,23000,Petrol,Individual,Manual,First,18.2,1199.0,82.4,5.0,Chevrolet,Sail 1.2 LT ABS
Maruti Omni MPI STD BSIV,2013,166000,50000,Petrol,Individual,Manual,First,16.8,796.0,34.2,5.0,Maruti,Omni MPI STD BSIV
Mahindra Xylo D4 BSIII,2013,200000,300000,Diesel,Individual,Manual,First,14.0,2498.0,112.0,8.0,Mahindra,Xylo D4 BSIII
Maruti Alto K10 2010-2014 VXI,2011,140000,50000,Petrol,Individual,Manual,Third,20.92,998.0,67.1,5.0,Maruti,Alto K10 2010-2014 VXI
Maruti Eeco CNG 5 Seater AC BSIV,2017,370000,140000,CNG,Individual,Manual,First,21.94,1196.0,61.7,5.0,Maruti,Eeco CNG 5 Seater AC BSIV
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,16000,Petrol,Individual,Automatic,First,17.4,1197.0,81.86,5.0,Hyundai,Elite i20 Sportz Plus CVT BSIV
Hyundai i20 Active 1.4,2015,500000,126000,Diesel,Individual,Manual,First,21.19,1396.0,88.73,5.0,Hyundai,i20 Active 1.4
Hyundai Xcent 1.2 VTVT SX,2019,570000,15000,Petrol,Individual,Manual,First,20.14,1197.0,81.86,5.0,Hyundai,Xcent 1.2 VTVT SX
Maruti Swift Dzire 1.2 Vxi BSIV,2010,210000,200000,Petrol,Individual,Manual,First,17.5,1197.0,85.8,5.0,Maruti,Swift Dzire 1.2 Vxi BSIV
